162410,4,101.8,48668,28126,260357,5.394,0.368
162410,4,102.3,42519,23547,144399,5.394,0.359
162410,4,102.3,47518,27433,256726,5.394,0.36
181408.2,4,102.3,50300,26100,283300,5.394,0.362
181408.2,4,102,52829,26575,289967,5.394,0.361
181408.2,4,101.9,54900,25700,284700,5.394,0.31
191010.6,4,101.8,53428,26349,283229,5.394,0.358
191010.6,4,101.3,54230,27931,294982,5.394,0.36
191010.6,4,101.9,55010,28560,306704,5.394,0.368
211566.2,4,102.1,57593,30721,302489,5.394,0.368
211566.2,4,102.3,60586,30493,319756,5.394,0.363
181867.7,3.9,102.5,52244,31058,255802,6.192,0.372
181867.7,3.9,100.8,46482,28121,179276,6.192,0.37
181867.7,3.9,100.9,50688,32185,285446,6.192,0.368
201950.3,3.9,101.2,54728,30133,309576,6.192,0.37
201950.3,3.9,101.5,55813,30304,319713,6.192,0.369
201950.3,3.9,101.5,59054,29934,320028,6.192,0.362
212789.3,3.9,101.4,57353,31002,319809,6.192,0.364
212789.3,3.9,101.8,57583,31590,331077,6.192,0.363
212789.3,3.9,101.6,57891,31178,344853,6.192,0.356
235428.7,3.9,101.9,59985,32199,329941,6.192,0.366
235428.7,3.9,101.7,60606,30774,351840,6.192,0.363
235428.7,3.9,101.8,53292,30387,332157,6.192,0.365
202035.7,3.8,101.5,52323,33963,300004,7.2,0.369
202035.7,3.8,102.9,46587,30435,167206,7.2,0.362
202035.7,3.8,102.1,51215,33972,306352,7.2,0.357
223962.2,3.8,101.8,55909,30546,337000,7.2,0.342
223962.2,3.8,101.8,58844,33884,347412,7.2,0.338
223962.2,3.8,101.9,61995,32950,339972,7.2,0.342
234474.3,3.8,102.1,59289,33712,340375,7.2,0.333
234474.3,3.8,102.3,62075,33714,354894,7.2,0.336
234474.3,3.8,102.5,63587,34207,371090,7.2,0.336
258808.9,3.8,102.5,64022,35460,362870,7.2,0.338
258808.9,3.8,102.2,65102,35081,372017,7.2,0.341
217168.3,3.6,101.7,57264,36756,318985,6.708,0.338
217168.3,3.6,101.5,49404,29769,167329,6.708,0.333
217168.3,3.6,102.3,57183,34752,333114,6.708,0.345
241502.6,3.6,102.5,59910,33595,355968,6.708,0.342
241502.6,3.6,102.7,61782,36193,366777,6.708,0.34
241502.6,3.6,102.7,64948,35426,358626,6.708,0.339
251046.3,3.6,102.8,64115,36780,362163,6.708,0.335
251046.3,3.6,102.8,64106,36044,374669,6.708,0.335
251046.3,3.6,103,67433,36208,390312,6.708,0.335
276798,3.6,103.8,67093,38655,368369,6.708,0.343
276798,3.6,104.5,67778,38367,392555,6.708,0.346
276798,3.6,104.5,66210,39209,371775,6.708,0.35
